config,seed,interv_frac,alpha,boost,di_after_monitor,di_priv_after_monitor,efficiency_loss_rel,deviation_rel,efficiency_ok,reverse_ok,reaches_target,admissible,qualifying,selected
uniform bias=0.30 frac=1.00,42,1.0,1.0,1.079652142729066,0.8635467097005559,1.1580149501661128,0.0214876165277925,0.022299580096232275,True,True,True,True,True,True
uniform bias=0.30 frac=0.10,43,0.1,0.3,1.0345059235775071,0.6433913639987392,1.5542639456409608,-0.001996038772064616,0.0009362087484951357,True,True,False,True,False,False
uniform bias=0.30 frac=0.10,43,0.1,0.5,1.0575098726291785,0.6433913639987392,1.5542639456409608,-8.507927380190071e-05,0.001560347914158558,True,True,False,True,False,False
uniform bias=0.30 frac=0.10,43,0.1,0.7,1.0805138216808499,0.6510966497951313,1.5358702894795293,0.004419201834838742,0.0021844870798219795,True,True,False,True,False,False
uniform bias=0.30 frac=0.10,43,0.1,1.0,1.115019745258357,0.6626545784897194,1.5090818541979096,0.016038101517258395,0.0031206958283171156,True,True,False,True,False,True
uniform bias=0.30 frac=0.25,43,0.25,0.3,1.0345059235775071,0.6626545784897194,1.5090818541979096,-0.001996038772064616,0.002284334097387019,True,True,False,True,False,False
uniform bias=0.30 frac=0.25,43,0.25,0.5,1.0575098726291785,0.6703598642861115,1.491736085758853,-8.507927380190071e-05,0.0038072234956450283,True,True,False,True,False,False
uniform bias=0.30 frac=0.25,43,0.25,0.7,1.0805138216808499,0.6896230787770917,1.450067480011399,0.004419201834838742,0.005330112893903036,True,True,False,True,False,False
uniform bias=0.30 frac=0.25,43,0.25,1.0,1.115019745258357,0.7127389361662679,1.403038264443462,0.016038101517258395,0.007614446991290055,True,True,False,True,False,True
uniform bias=0.30 frac=0.50,43,0.5,0.3,1.0345059235775071,0.6742125071843075,1.483211879554517,-0.001996038772064616,0.004568977827345829,True,True,False,True,False,False
uniform bias=0.30 frac=0.50,43,0.5,0.5,1.0575098726291785,0.6973283645734839,1.4340446349284002,-8.507927380190071e-05,0.007614963045576373,True,True,False,True,False,False
uniform bias=0.30 frac=0.50,43,0.5,0.7,1.0805138216808499,0.7281495077590522,1.3733443329208488,0.004419201834838742,0.010660948263806916,True,True,False,True,False,False
uniform bias=0.30 frac=0.50,43,0.5,1.0,1.115019745258357,0.7666759367410125,1.3043320548846256,0.016038101517258395,0.015229926091152748,True,True,False,True,False,True
uniform bias=0.30 frac=0.75,43,0.75,0.3,1.0345059235775071,0.7011810074716799,1.42616526880242,-0.001996038772064616,0.006882885819163741,True,True,False,True,False,False
uniform bias=0.30 frac=0.75,43,0.75,0.5,1.0575098726291785,0.7397074364536402,1.3518858277189607,-8.507927380190071e-05,0.01147147636527289,True,True,False,True,False,False
uniform bias=0.30 frac=0.75,43,0.75,0.7,1.0805138216808499,0.7782338654356007,1.2849607867427746,0.004419201834838742,0.016060066911382034,True,True,False,True,False,False
uniform bias=0.30 frac=0.75,43,0.75,1.0,1.115019745258357,0.8283182231121493,1.2072654833583276,0.016038101517258395,0.022942952730545776,True,True,False,True,False,True
uniform bias=0.30 frac=1.00,43,1.0,0.3,1.0345059235775071,0.716591579064464,1.3954950479679593,-0.001996038772064616,0.009257887154147944,True,True,False,True,False,False
uniform bias=0.30 frac=1.00,43,1.0,0.5,1.0575098726291785,0.7782338654356007,1.2849607867427746,-8.507927380190071e-05,0.015429811923579886,True,True,False,True,False,False
uniform bias=0.30 frac=1.00,43,1.0,0.7,1.0805138216808499,0.8167602944175612,1.2243494288775494,0.004419201834838742,0.02160173669301183,True,True,False,True,False,False
uniform bias=0.30 frac=1.00,43,1.0,1.0,1.115019745258357,0.889960509483286,1.1236453632988763,0.016038101517258395,0.030859623847159772,True,True,True,True,True,True
uniform bias=0.30 frac=0.10,44,0.1,0.3,1.038531231536049,0.6205213083460845,1.6115482039857172,-0.0025796411679847656,0.0009248389615042407,True,True,False,True,False,False
uniform bias=0.30 frac=0.10,44,0.1,0.5,1.0642187192267487,0.6205213083460845,1.6115482039857172,-0.00036467196990900576,0.001541398269173739,True,True,False,True,False,False
uniform bias=0.30 frac=0.10,44,0.1,0.7,1.089906206917448,0.6285280349053889,1.5910189275018227,0.00499808120955219,0.0021579575768432327,True,True,False,True,False,False
uniform bias=0.30 frac=0.10,44,0.1,1.0,1.1284374384534974,0.6365347614646931,1.5710061108036868,0.01894430594384224,0.003082796538347478,True,True,False,True,False,True
uniform bias=0.30 frac=0.25,44,0.25,0.3,1.038531231536049,0.6325313981850411,1.5809491874543427,-0.0025796411679847656,0.0023148644328037636,True,True,False,True,False,False
uniform bias=0.30 frac=0.25,44,0.25,0.5,1.0642187192267487,0.6325313981850411,1.5809491874543427,-0.00036467196990900576,0.003858107388006286,True,True,False,True,False,False
uniform bias=0.30 frac=0.25,44,0.25,0.7,1.089906206917448,0.6485448513036497,1.5419134050480627,0.00499808120955219,0.005401350343208794,True,True,False,True,False,False
