seed,variant,monitor_threshold,triggered,di_before_monitor,selected_alpha,R2,RMSE,DI,EOD,AOD
57,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6901437549567802,1.0,0.7153353163573841,2.1498408218833016,0.8469946083560485,0.005842016208032819,0.0012435189265272428
58,Algorithm 1,median(y_train) [aligned],True,0.5984162895927602,1.0,0.7280778606183069,2.095829410540897,0.9110218140068888,0.04309531299150671,0.04372902904477296
58,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.5984162895927602,1.0,0.7280778606183069,2.095829410540897,0.9110218140068888,0.04309531299150671,0.04372902904477296
59,Algorithm 1,median(y_train) [aligned],True,0.6090045136838899,1.0,0.6957531730909571,2.1117456163325388,0.8637514998000267,0.02972237238396791,0.010318339462193751
59,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6090045136838899,1.0,0.6957531730909571,2.1117456163325388,0.8637514998000267,0.02972237238396791,0.010318339462193751
60,Algorithm 1,median(y_train) [aligned],True,0.6915862808145766,1.0,0.718292058425485,2.0609261361057,0.7989013933547696,0.0010777648814458418,0.00012495186623406873
60,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6915862808145766,1.0,0.718292058425485,2.0609261361057,0.7989013933547696,0.0010777648814458418,0.00012495186623406873
61,Algorithm 1,median(y_train) [aligned],True,0.7341337907375644,1.0,0.7181545030194405,2.04066679295072,0.8408392835773266,0.054075851758596194,0.014089718707983354
61,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.7341337907375644,1.0,0.7181545030194405,2.04066679295072,0.8408392835773266,0.054075851758596194,0.014089718707983354
62,Algorithm 1,median(y_train) [aligned],True,0.5643415953791037,1.0,0.7119543372238966,2.110333119623208,0.8530745046428311,0.041353781068217854,0.05366372296723239
62,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.5643415953791037,1.0,0.7119543372238966,2.110333119623208,0.8530745046428311,0.041353781068217854,0.05366372296723239
63,Algorithm 1,median(y_train) [aligned],True,0.7400298497101802,1.0,0.6987266228900115,2.2085825403297887,0.7865051542813509,0.05906651332183244,0.02591154142862949
63,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.7400298497101802,1.0,0.6987266228900115,2.2085825403297887,0.7865051542813509,0.05906651332183244,0.02591154142862949
64,Algorithm 1,median(y_train) [aligned],True,0.5394736842105263,1.0,0.6660883873434571,2.250635517601377,0.9166666666666667,0.05749877270495829,0.09773784967260178
64,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.5394736842105263,1.0,0.6660883873434571,2.250635517601377,0.9166666666666667,0.05749877270495829,0.09773784967260178
65,Algorithm 1,median(y_train) [aligned],True,0.6417228298898834,1.0,0.7271164180071028,2.117164832138046,0.8503811733510109,0.031491162559123764,0.059071523629894485
65,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6417228298898834,1.0,0.7271164180071028,2.117164832138046,0.8503811733510109,0.031491162559123764,0.059071523629894485
66,Algorithm 1,median(y_train) [aligned],True,0.5953200645508337,1.0,0.6630667825143427,2.254462928718473,0.8718558364712211,0.05020584709990106,0.056706179153593717
66,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.5953200645508337,1.0,0.6630667825143427,2.254462928718473,0.8718558364712211,0.05020584709990106,0.056706179153593717
67,Algorithm 1,median(y_train) [aligned],True,0.6245585940707892,1.0,0.7017907793681863,2.135883692433046,0.8686389641674195,0.025174343209003247,0.04654762532438786
67,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6245585940707892,1.0,0.7017907793681863,2.135883692433046,0.8686389641674195,0.025174343209003247,0.04654762532438786
68,Algorithm 1,median(y_train) [aligned],True,0.6598305411130366,1.0,0.7273511013763458,2.0989108458047805,0.8654920084729443,0.002613240418118501,0.03907092369164632
68,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.6598305411130366,1.0,0.7273511013763458,2.0989108458047805,0.8654920084729443,0.002613240418118501,0.03907092369164632
69,Algorithm 1,median(y_train) [aligned],True,0.675644439448336,1.0,0.6962284240228145,2.1817375199186504,0.8454785608397211,0.039916935856022184,0.012371520923716892
69,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.675644439448336,1.0,0.6962284240228145,2.1817375199186504,0.8454785608397211,0.039916935856022184,0.012371520923716892
70,Algorithm 1,median(y_train) [aligned],True,0.5257523100489186,1.0,0.6992220276251525,2.178784149223874,0.9244478118360152,0.04180565044407836,0.07278856855759663
70,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.5257523100489186,1.0,0.6992220276251525,2.178784149223874,0.9244478118360152,0.04180565044407836,0.07278856855759663
71,Algorithm 1,median(y_train) [aligned],True,0.5641329042029534,1.0,0.7178218769819131,2.1445470891780474,0.8853180613404014,0.003505437651779131,0.059847047204672696
71,Single alpha=1.0 (R2 closed form),median(y_train) [aligned],True,0.5641329042029534,1.0,0.7178218769819131,2.1445470891780474,0.8853180613404014,0.003505437651779131,0.059847047204672696
