config,used_by,seed,interv_frac,bitwise_identical_to_R2,max_abs_diff_vs_R2,triggered,di_before_monitor,selected_alpha,selection_rule,n_qualifying,n_admissible,n_efficiency_rejections,n_reverse_rejections,di_after_monitor,n_routed,n_unpriv,R2,RMSE,DI,EOD,AOD,deposited_DI,abs_diff_R2routine_vs_deposited_DI
uniform bias=0.40 frac=1.00,bias sensitivity,62,1.0,True,0.0,True,0.47537929796211514,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.850042642966155,423,423,0.6944239796673705,2.189067947236772,0.8431345192419486,0.03485582263295872,0.0709171427778034,0.8431345192419486,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,63,1.0,True,0.0,True,0.6085396353619197,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8176084671427019,470,470,0.6540913038367011,2.375467438314034,0.8388476025654076,0.009470657872484356,0.04309943120168973,0.8388476025654076,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,64,1.0,True,0.0,True,0.4996110967072855,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8504018667358051,475,475,0.6672120808423392,2.268051650068512,0.8440320454314978,0.033333333333333326,0.08666666666666666,0.8440320454314978,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,65,1.0,True,0.0,True,0.5056105290991497,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8838231296063878,431,431,0.6937902160484339,2.2563024572525925,0.8785108304847594,0.06000913554870391,0.0970194209587374,0.8785108304847594,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,66,1.0,True,0.0,True,0.4614390348987505,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8716070659198621,429,429,0.656821880457737,2.294038446719917,0.8716070659198621,0.06594110115236873,0.09333459367553981,0.8716070659198621,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,67,1.0,True,0.0,True,0.4607297946345714,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.906597337829318,451,451,0.6831015338197406,2.2151577628721086,0.9157253347766119,0.06758112435852914,0.10413038596188498,0.915725334776612,1.1102230246251565e-16
uniform bias=0.40 frac=1.00,bias sensitivity,68,1.0,True,0.0,True,0.5426829268292682,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8602529358626919,432,432,0.6960158288097207,2.227133129251544,0.8658654692727592,0.015473887814313358,0.07217857845774613,0.8658654692727592,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,69,1.0,True,0.0,True,0.5231382408615121,1.0,target met; minimum deviation (practicality),1.0,4.0,0.0,0.0,0.8935353895006848,449,449,0.6531000232677597,2.343460016847813,0.912313768346498,0.029553300554451267,0.08248426126762522,0.912313768346498,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,70,1.0,False,0.957620881241354,True,0.5116898490677715,0.7,target not reachable; largest admissible DI,0.0,3.0,1.0,0.0,0.7399822432672388,436,436,0.695608141849547,2.2052415630804147,0.7601143029026922,0.02213050825425711,0.0057834173436184105,0.840126334787186,0.0
uniform bias=0.40 frac=1.00,bias sensitivity,71,1.0,True,0.0,True,0.48901379662749106,1.0,target not reachable; largest admissible DI,0.0,4.0,0.0,0.0,0.8298415942769545,456,456,0.7006929215770497,2.2200949016485647,0.8521711654780174,0.0028369722958744292,0.06812223517452527,0.8521711654780174,0.0
