seed,variant,selected_alpha,selected_boost,R2,RMSE,DI,EOD,AOD
63,"Single fixed candidate, alpha=1.0",1.0,1.061300654086159,0.6901692125868799,2.239729355000937,0.8222553885668669,0.048255702511021625,0.00647104830392585
63,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0175144725960454,0.7072441321759426,2.177138516026477,0.7579049668529381,0.06987732413264325,0.041843262623508584
63,"No correction, same base (R2 label ""w/o HED"")",,,0.7117510845992012,2.160315082160156,0.7400298497101802,0.08609354034885952,0.05346014266144128
64,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1372588467756422,0.6791370523712866,2.206221899332573,0.8508771929824562,0.039641629847815385,0.06926530430266226
64,"Single fixed candidate, alpha=0.3",0.3,1.0411776540326927,0.6841061289363559,2.1890718015190815,0.6096491228070176,0.11512027491408938,0.05534691843659632
64,"Single fixed candidate, alpha=0.5",0.5,1.068629423387821,0.6858561550348304,2.1829997411745015,0.662280701754386,0.09131075110456555,0.030412840570922348
64,"Single fixed candidate, alpha=0.7",0.7,1.0960811927429495,0.6850703713253667,2.1857282592067278,0.7192982456140351,0.05559646539027985,0.0011550462479814477
64,"Single fixed candidate, alpha=1.0",1.0,1.1372588467756422,0.6791370523712866,2.206221899332573,0.8508771929824562,0.039641629847815385,0.06926530430266226
64,"Reduced strength, coef 0.2 (R2 label ""w/o MOG"")",0.28571428571428575,1.0392168133644692,0.6838840935336101,2.1898409934925267,0.5964912280701754,0.12107265586647031,0.0615804379030148
64,"No correction, same base (R2 label ""w/o HED"")",,,0.6767264463987597,2.2144939358400686,0.5394736842105263,0.15083456062837508,0.08949070624487923
65,Full: Algorithm 1 (4 candidates + rule-based arbitration),1.0,1.1186929362375746,0.7232632309728315,2.1320598944994913,0.8621920229808862,0.03790141896938015,0.06591301547138631
65,"Single fixed candidate, alpha=0.3",0.3,1.0356078808712723,0.7525615033336466,2.0160421231139147,0.7165248775457593,0.026201145133183945,0.01522917567080484
65,"Single fixed candidate, alpha=0.5",0.5,1.0593464681187874,0.7467235464788511,2.0396862864968686,0.7637682760652599,0.006970375902414783,0.010749845308216113
65,"Single fixed candidate, alpha=0.7",0.7,1.0830850553663023,0.7388592071397058,2.0711107696451383,0.8110116745847605,0.025080906148867266,0.03950275906112986
