fold,seed,model,Acc,DI,EOD,AOD
1,48,Debiased-HITL,0.75,0.7595628415300546,0.07428571428571429,0.07079670329670329
1,48,FE-HITL,0.75,1.0127504553734064,0.03428571428571425,0.03690781440781439
1,49,DL,0.725,1.3870277975766216,0.017142857142857126,0.025131257631257627
1,49,Debiased-HITL,0.73,1.2879543834640057,0.017142857142857126,0.011242368742368732
1,49,FE-HITL,0.73,1.089807555238774,0.022857142857142854,0.022646520146520147
1,50,DL,0.725,1.3146279949558637,0.09714285714285714,0.03681929181929182
1,50,Debiased-HITL,0.725,1.3146279949558637,0.09714285714285714,0.03681929181929182
1,50,FE-HITL,0.715,0.9640605296343001,0.022857142857142854,0.03706959706959707
1,51,DL,0.725,1.7903981264637003,0.12,0.06801282051282051
1,51,Debiased-HITL,0.73,1.3021077283372366,0.08000000000000002,0.020235042735042744
1,51,FE-HITL,0.715,0.8138173302107727,0.04000000000000001,0.03976495726495727
1,52,DL,0.745,1.640655737704918,0.14857142857142858,0.08603785103785104
1,52,Debiased-HITL,0.735,1.4583606557377051,0.06857142857142856,0.04603785103785103
1,52,FE-HITL,0.725,0.9114754098360656,0.09142857142857141,0.06173992673992674
1,53,DL,0.71,1.3192407247627265,0.04571428571428571,0.0033180708180708257
1,53,Debiased-HITL,0.71,1.3192407247627265,0.04571428571428571,0.0033180708180708257
1,53,FE-HITL,0.71,1.079378774805867,0.08571428571428569,0.03057081807081806
1,54,DL,0.7,1.772313296903461,0.02285714285714291,0.06538156288156291
1,54,Debiased-HITL,0.705,1.6457194899817849,0.02285714285714291,0.051492673992674015
1,54,FE-HITL,0.72,1.0127504553734064,0.017142857142857126,0.024062881562881555
1,55,DL,0.745,1.439171699741156,0.04571428571428571,0.026062271062271054
1,55,Debiased-HITL,0.745,1.439171699741156,0.04571428571428571,0.026062271062271054
1,55,FE-HITL,0.74,0.8395168248490077,0.07428571428571429,0.06171550671550672
1,56,DL,0.74,1.0357675111773472,0.04571428571428571,0.016138583638583642
1,56,Debiased-HITL,0.74,1.0357675111773472,0.04571428571428571,0.016138583638583642
1,56,FE-HITL,0.74,1.0357675111773472,0.04571428571428571,0.016138583638583642
1,57,DL,0.72,1.3021077283372366,0.20571428571428574,0.06279304029304031
1,57,Debiased-HITL,0.72,1.3021077283372366,0.20571428571428574,0.06279304029304031
1,57,FE-HITL,0.71,0.9765807962529274,0.08571428571428574,0.011095848595848584
1,58,DL,0.715,1.6879174256223435,0.17714285714285716,0.1136782661782662
1,58,Debiased-HITL,0.725,1.5191256830601092,0.17714285714285716,0.08590048840048842
1,58,FE-HITL,0.72,0.928354584092289,0.017142857142857126,0.03576617826617827
1,59,DL,0.745,1.9938524590163933,0.32571428571428573,0.16980158730158731
1,59,Debiased-HITL,0.735,1.6140710382513659,0.20571428571428574,0.09591269841269842
1,59,FE-HITL,0.745,1.9938524590163933,0.32571428571428573,0.16980158730158731
1,60,DL,0.74,1.2496033844526704,0.16000000000000003,0.03993589743589745
1,60,Debiased-HITL,0.74,1.2496033844526704,0.16000000000000003,0.03993589743589745
1,60,FE-HITL,0.74,1.2496033844526704,0.16000000000000003,0.03993589743589745
1,61,DL,0.75,1.1993097497842966,0.12571428571428578,0.022258852258852282
1,61,Debiased-HITL,0.75,1.1993097497842966,0.12571428571428578,0.022258852258852282
1,61,FE-HITL,0.75,1.1993097497842966,0.12571428571428578,0.022258852258852282
1,62,DL,0.73,1.434729811778992,0.24571428571428577,0.08760073260073262
1,62,Debiased-HITL,0.73,1.434729811778992,0.24571428571428577,0.08760073260073262
1,62,FE-HITL,0.715,1.0127504553734061,0.08571428571428574,0.00628815628815628
1,63,DL,0.715,1.323109465891063,0.14857142857142858,0.0571916971916972
1,63,Debiased-HITL,0.715,1.323109465891063,0.14857142857142858,0.0571916971916972
1,63,FE-HITL,0.73,0.955579058699101,0.10857142857142854,0.01836385836385837
1,64,DL,0.72,1.5191256830601092,0.12571428571428572,0.06980158730158731
1,64,Debiased-HITL,0.725,1.4241803278688523,0.12571428571428572,0.055912698412698414
1,64,FE-HITL,0.725,1.044398907103825,0.04571428571428571,0.01186507936507937
1,65,DL,0.745,1.6084860173577626,0.1428571428571429,0.060744810744810765
1,65,Debiased-HITL,0.73,1.206364513018322,0.02285714285714291,0.0007448107448107671
1,65,FE-HITL,0.72,0.9382835101253616,0.057142857142857106,0.03925518925518924
