fold,seed,model,R2,RMSE,DI,EOD,AOD
1,49,Debiased-HITL,0.7385094003754278,1.9846912427439514,0.699573900429985,0.08105661619486504,0.06649680335968655
1,49,FE-HITL,0.7328331890692342,2.006116575022545,0.838882988827298,0.00041145490454241873,0.011075060953096544
1,50,DL,0.7246987097318808,2.0364278902197976,0.6414846981782566,0.1270984200131665,0.1011618674492651
1,50,Debiased-HITL,0.7354049339480593,1.996437798347782,0.7147161926470842,0.06365207373271897,0.05716962181481596
1,50,FE-HITL,0.7301925095068695,2.0160064358777694,0.8358545303838781,0.007200460829493105,0.00830546830441875
1,51,DL,0.729008259364101,2.020425960811851,0.7005345197324201,0.0821263989466755,0.06820513743594497
1,51,Debiased-HITL,0.7343421825015242,2.00044314693117,0.733655587582583,0.06324061882817644,0.05034910296686537
1,51,FE-HITL,0.7249019975843893,2.0356758822954215,0.8559315188463468,0.0108212639894667,0.01597518763300526
2,42,DL,0.7391567807853648,1.9980753817530246,0.6419220659912727,0.10097567495322102,0.09252080450957754
2,42,Debiased-HITL,0.7285131799213658,2.038433126963298,0.6702305083107069,0.0759489441325849,0.083517817609638
2,42,FE-HITL,0.699405823296694,2.144926301421302,0.8766728167777177,0.023188986901897857,0.03473246658892207
2,43,DL,0.739381594848757,1.9972141512481236,0.6307303985891832,0.09277822329145513,0.09947213972875565
2,43,Debiased-HITL,0.7380394794666768,2.0023501080402375,0.6832434811310376,0.05787222667735903,0.06727555167811786
2,43,FE-HITL,0.7183321086545571,2.076303157694696,0.8733634063153263,0.04988639401229622,0.04017518723813833
2,44,DL,0.7380842065992474,2.0021791601399186,0.6383564289507991,0.10181101309810214,0.10411063475417928
2,44,Debiased-HITL,0.741670195394365,1.988425623277353,0.6627302219399579,0.08115031631471092,0.07726624484844216
2,44,FE-HITL,0.7230892787580789,2.058694852281345,0.8675741087213994,0.03953933885770289,0.03802363768281969
2,45,DL,0.7332979443597827,2.020390299771042,0.6625419463087248,0.09019424396328968,0.0836502355347584
2,45,Debiased-HITL,0.7131178736955692,2.0954332876320323,0.7072492415188011,0.05911966497371479,0.07238645031347524
2,45,FE-HITL,0.6728860438857027,2.2375442353317228,0.8847338420520364,0.014156197095250733,0.031559173028699844
2,46,DL,0.7375721731698497,2.004135289037605,0.6317981948623004,0.09968368528913829,0.09477468757741409
2,46,Debiased-HITL,0.7398063281665581,1.9955860442674365,0.6598439860852454,0.08934776797647681,0.07538206469641912
2,46,FE-HITL,0.7264405647682172,2.046199350186749,0.8602638884008574,0.03996257685110938,0.03735003079429705
2,47,DL,0.7326559259952259,2.0228206297203712,0.6424649176327029,0.09838055778312393,0.0946115243128074
2,47,Debiased-HITL,0.7394716545473624,1.9968690412279724,0.6704463564774218,0.08029270248596632,0.07149555759218951
2,47,FE-HITL,0.7243696350343594,2.0539299287758417,0.8654852965435808,0.040396952686447496,0.03829981944456684
