bias_type,seed,model,R2,RMSE,DI,EOD,AOD
interaction,45,DL,0.7493386642744755,1.977730531444211,0.8076568265682657,0.03534333648594534,0.035831271510742974
interaction,45,Debiased-HITL,0.7034000173730296,2.151339760844034,0.7885220125786163,0.049785707590978445,0.06797998635101017
interaction,45,FE-HITL,0.696754048788256,2.1753089605631795,0.8352987421383649,0.03570120054872494,0.040338481893553824
interaction,46,DL,0.7305431080958498,2.067176767308342,0.852364465705264,0.09820761762509334,0.05335853434787484
interaction,46,Debiased-HITL,0.7318686298645614,2.062086034829111,0.8437110193529264,0.11176250933532483,0.05825274103161582
interaction,46,FE-HITL,0.7318686298645614,2.062086034829111,0.8437110193529264,0.11176250933532483,0.05825274103161582
interaction,47,DL,0.7566755167231327,1.9147357673976195,0.7158013544018059,0.10884699624530669,0.08633497616416234
interaction,47,Debiased-HITL,0.7571205064880004,1.9129841398713943,0.7390279470225134,0.1004380475594493,0.0781630668940464
interaction,47,FE-HITL,0.7513860550382151,1.9354354327681795,0.8614954353862442,0.0419274092615769,0.013613630098051374
interaction,48,DL,0.7416514079628658,2.0070789282473287,0.7426301134004518,0.08382437482035066,0.05739257040690916
interaction,48,Debiased-HITL,0.7405847599756119,2.011217989921929,0.760887561050865,0.08734550158091403,0.051375009960098375
interaction,48,FE-HITL,0.7381920652749783,2.0204718510372195,0.8077114109616875,0.056733256682954925,0.024832932454939047
interaction,49,DL,0.7414808287977496,2.005174329193646,0.7668086548235635,0.08368839140639106,0.04854283665604046
interaction,49,Debiased-HITL,0.7422353147238889,2.0022461493488435,0.8069007128650919,0.07609676836974189,0.03507914333618044
interaction,49,FE-HITL,0.7393571557219814,2.013393497528972,0.8306330867728887,0.0656255641812602,0.021746375250036754
interaction,50,DL,0.7531869487967127,2.0112205142439246,0.7564573527723568,0.07748699812773041,0.0590559990638652
interaction,50,Debiased-HITL,0.697491448090422,2.226611552184551,0.7478355672417111,0.061859787809444566,0.052295383035157066
interaction,50,FE-HITL,0.702965281912931,2.206374535035162,0.8009363175784006,0.028366964842937437,0.0257833465519035
interaction,51,DL,0.7449079028230194,1.9986407971286841,0.8772594821255123,0.044328493647912914,0.021891209837632764
interaction,51,Debiased-HITL,0.7381281451039194,2.025026254671025,0.8670929910425709,0.05429219600725954,0.02875171849036913
interaction,51,FE-HITL,0.7381281451039194,2.025026254671025,0.8670929910425709,0.05429219600725954,0.02875171849036913
interaction,52,DL,0.7218395451776889,2.0419388391630386,0.8870631194574856,0.006367105843545606,0.014877621264777319
interaction,52,Debiased-HITL,0.7108024363261616,2.082055734222313,0.8736577883140427,0.022093090155917428,0.0191743658387582
interaction,52,FE-HITL,0.7108024363261616,2.082055734222313,0.8736577883140427,0.022093090155917428,0.0191743658387582
interaction,53,DL,0.7431185409094232,2.0206530196166614,0.7320391872278664,0.10482501512696896,0.07959018545886572
interaction,53,Debiased-HITL,0.7363738657093024,2.0470082603810518,0.7973428425265565,0.05404719614311093,0.05342396538101368
interaction,53,FE-HITL,0.7338566338354804,2.0567579623145864,0.8256748217026271,0.03206917416508892,0.036236607284564654
interaction,54,DL,0.7320242270782691,2.062329411282995,0.7497745265056619,0.09575799787288108,0.0581249005757848
interaction,54,Debiased-HITL,0.7156774682215825,2.124300288618021,0.7928007023705004,0.057818103099381624,0.02583528105788753
interaction,54,FE-HITL,0.7184782205893206,2.113811560302516,0.8116769095697981,0.04124351746402244,0.015498807912339083
interaction,55,DL,0.7193652440271203,2.089011528580693,0.8058283180234399,0.0351747564136945,0.047569012733936315
interaction,55,Debiased-HITL,0.7178446152097415,2.0946635719186593,0.8130146940093653,0.043246625547510464,0.0424681245276579
interaction,55,FE-HITL,0.7178446152097415,2.0946635719186593,0.8130146940093653,0.043246625547510464,0.0424681245276579
interaction,56,DL,0.7307850176037356,2.0517768619912475,0.7960618518172475,0.04763435962021134,0.03856136696808593
interaction,56,Debiased-HITL,0.683466209257161,2.2247978415888503,0.8557383055815657,0.033637914556481574,0.02327501545843691
interaction,56,FE-HITL,0.683466209257161,2.2247978415888503,0.8557383055815657,0.033637914556481574,0.02327501545843691
