Exp,ratio,seed,model,R2,RMSE,DI,EOD,AOD
IntervSens,0.5,42,DL,0.7339830962137703,1.9810958768142408,0.686039886039886,0.1158949745906267,0.08429522891746002
IntervSens,0.5,42,FE-HITL,0.7174458944781723,2.0417458801058035,0.7733262108262109,0.044173993708155224,0.041296064648266684
IntervSens,0.5,43,DL,0.7336097445550944,2.0584390266288013,0.6502102009866968,0.1046712802768166,0.08421579393998548
IntervSens,0.5,43,FE-HITL,0.7232696746054348,2.0980083722452063,0.744521510882984,0.050812396569881124,0.031651450718435475
IntervSens,0.5,44,DL,0.7282787193822127,2.041768665182814,0.623478566648139,0.18821343002122637,0.13232147564891106
IntervSens,0.5,44,FE-HITL,0.7121897620828723,2.1013472564974585,0.7411675153551367,0.11822099135457187,0.06501142652834976
IntervSens,0.5,45,DL,0.7503979484569517,1.9692293598738808,0.6521551724137932,0.1087224114733919,0.07709761356627148
IntervSens,0.5,45,FE-HITL,0.7235442353458181,2.0724547265520368,0.7311093247588424,0.06937089094361593,0.04330829260397187
IntervSens,0.5,46,DL,0.7342079291756273,2.048245376942295,0.6736605531012044,0.15043150381094494,0.09665799397544073
IntervSens,0.5,46,FE-HITL,0.7223827969033363,2.093312949960264,0.7788930880081948,0.08210670645642626,0.04469567838176941
IntervSens,0.5,47,DL,0.7532531804085412,1.9239764193601978,0.6124078254326561,0.12230576441102758,0.11244278326954217
IntervSens,0.5,47,FE-HITL,0.72541996526274,2.029590591379205,0.7480872240722943,0.05194235588972429,0.03749628528105778
IntervSens,0.5,48,DL,0.7392507651912046,2.0153520009691994,0.6560856949625847,0.11322961155175926,0.059434054280650656
IntervSens,0.5,48,FE-HITL,0.705108238266599,2.1432395239058364,0.754810292341967,0.05252186292454741,0.013210968747881455
IntervSens,0.5,49,DL,0.7455891186495411,1.994294104230412,0.6439890410958904,0.14902280130293155,0.08643574275672894
IntervSens,0.5,49,FE-HITL,0.7227929824225838,2.081725558351186,0.7650803208533149,0.07832739943943634,0.01977930122347757
IntervSens,0.5,50,DL,0.752989194133646,2.008466036492822,0.622934375164986,0.14808854907539115,0.0981953284018642
IntervSens,0.5,50,FE-HITL,0.739440808149971,2.062812313346398,0.7155789835558356,0.05550320056899005,0.027253942204869736
IntervSens,0.5,51,DL,0.7455972454280866,1.9873792032494382,0.6963389551624846,0.1076717745921898,0.061619126996469424
IntervSens,0.5,51,FE-HITL,0.7266526315799731,2.060047739343326,0.7872852182017709,0.06521008403361339,0.025442120668492094
IntervSens,0.5,52,DL,0.723358694027788,2.022273293729801,0.7274218789439145,0.04091529637100888,0.049438040342367186
IntervSens,0.5,52,FE-HITL,0.7047382548708778,2.089223607872226,0.7582336121995129,0.009556411353587313,0.0277193821473819
IntervSens,0.5,53,DL,0.7487542459757378,2.0016492976471785,0.6098752282410226,0.194378260029622,0.12447060864399852
IntervSens,0.5,53,FE-HITL,0.7106626142706411,2.1480327549389435,0.7530838995654837,0.09535922038336875,0.044984192401926956
IntervSens,0.5,54,DL,0.7299611838927647,2.0642178935452744,0.6678314890312561,0.10749847170847449,0.06244886955387095
IntervSens,0.5,54,FE-HITL,0.7137608560315324,2.125234967461825,0.7144478844169248,0.07424906489281236,0.029244254829286456
