Exp,bias,seed,model,R2,RMSE,DI,EOD,AOD
BiasSens,0.2,51,DL,0.743627852315053,1.99566938421979,0.868933242422364,0.03154399557277254,0.016247827262006062
BiasSens,0.2,51,Debiased-HITL,0.7342499801275761,2.0318415018489433,0.8583344759815348,0.04053680132816828,0.023700018323003114
BiasSens,0.2,51,FE-HITL,0.7342499801275761,2.0318415018489433,0.8583344759815348,0.04053680132816828,0.023700018323003114
BiasSens,0.2,52,LR,0.72669511754398,2.014815352898071,0.857275278729047,0.003546403546403454,0.021043314897123383
BiasSens,0.2,52,DL,0.7209385120457454,2.035923752556646,0.8013581488933601,0.039124839124839106,0.05256161470400147
BiasSens,0.2,52,Debiased-HITL,0.7080148693516626,2.082533154352735,0.7927761883802817,0.032804232804232836,0.04815743944301786
BiasSens,0.2,52,FE-HITL,0.7078329368301369,2.0831818543506886,0.7927761883802817,0.032804232804232836,0.04815743944301786
BiasSens,0.2,53,LR,0.7480021107887709,1.9977566218930918,0.7110769912625048,0.13987247320580654,0.09724224904018915
BiasSens,0.2,53,DL,0.7425674818448279,2.019183691155961,0.6682849998376253,0.1734500067833401,0.11846768471463356
BiasSens,0.2,53,Debiased-HITL,0.7340358988096478,2.0523699060090164,0.7709577262956772,0.0691900691900692,0.06708460253736197
BiasSens,0.2,53,FE-HITL,0.7171283163609419,2.1166003569819005,0.8914198710293767,0.0022385022385021935,0.0037536501190724852
BiasSens,0.2,54,LR,0.7347132071843034,2.043330173208192,0.7343453510436432,0.09215373459028287,0.056787611096794324
BiasSens,0.2,54,DL,0.7294112201841138,2.0636480222072806,0.7359826873893369,0.08347111433405852,0.05657853237364083
BiasSens,0.2,54,Debiased-HITL,0.7107407401638766,2.1336558398930983,0.7597673397717296,0.06255740875030213,0.031262175449531235
BiasSens,0.2,54,FE-HITL,0.7146169969690223,2.119311453815443,0.8069578577699736,0.03970026589315934,0.007833604020959839
BiasSens,0.2,55,LR,0.7251770277404253,2.0626095190680167,0.7518303843807199,0.06137585924422129,0.07392268910640729
BiasSens,0.2,55,DL,0.7180173233613376,2.089304385655353,0.7518025078369907,0.06446557680663889,0.07032566213678294
BiasSens,0.2,55,Debiased-HITL,0.7172576815544492,2.09211671355272,0.7797738888028496,0.038955372725006265,0.05656069710071299
BiasSens,0.2,55,FE-HITL,0.716018056621335,2.0966979231678944,0.8167105466935108,0.013445168643373528,0.0356088737484212
BiasSens,0.2,56,LR,0.7329246403292251,2.0340691889431417,0.7879238816738818,0.041760846794200335,0.035582854637126446
BiasSens,0.2,56,DL,0.72862871250336,2.050363008635906,0.739639121940007,0.07427825863241266,0.05919864306820107
BiasSens,0.2,56,Debiased-HITL,0.6800805370975116,2.2262254405885677,0.8595665609662498,0.007607916643695978,0.006917322319469926
BiasSens,0.2,56,FE-HITL,0.6722290375711746,2.253377993008059,0.8910141180747714,0.0027013617068195606,0.011297018348325139
BiasSens,0.2,57,LR,0.7596415405197676,1.976074914565339,0.7285716369577268,0.07749930958298812,0.09012203972873255
BiasSens,0.2,57,DL,0.7520693485230047,2.0069604301147654,0.7479428821927259,0.06631455399061026,0.0818518376647612
BiasSens,0.2,57,Debiased-HITL,0.7346638690500857,2.0762129480478273,0.8026253588287282,0.01981496824081741,0.0566606221957225
BiasSens,0.2,57,FE-HITL,0.7226040555420951,2.122871725786264,0.8957872308356342,0.024302678818006074,0.0006017986663107711
BiasSens,0.2,58,LR,0.7636646540615126,1.957147127562124,0.7693923723335488,0.07691190355145616,0.06620641073193055
BiasSens,0.2,58,DL,0.757309966925149,1.9832849018718128,0.7884538950715421,0.05828309971675494,0.055851161712560535
BiasSens,0.2,58,Debiased-HITL,0.7578354077743491,1.9811367634512242,0.7856758087850525,0.03585953954535548,0.05480198325287706
BiasSens,0.2,58,FE-HITL,0.7581883199671149,1.9796926583758672,0.7978883861236802,0.03585953954535548,0.048704422277267304
BiasSens,0.2,59,LR,0.7186290029415445,2.0305624417173513,0.7237850177991023,0.12903860251390153,0.10595196417955753
BiasSens,0.2,59,DL,0.7088284751139307,2.065623352010543,0.7081827882509313,0.13222120903288093,0.11949545867410699
BiasSens,0.2,59,Debiased-HITL,0.7141470330544801,2.0466710019341754,0.7506892400885333,0.1077795061595952,0.09031033580912126
BiasSens,0.2,59,FE-HITL,0.7143809659948249,2.045833365428323,0.831844833611618,0.07379892363532337,0.047215626876302624
BiasSens,0.2,60,LR,0.7359279675789223,1.9934173151931147,0.7741733948481353,0.03771107306824373,0.044110516613803136
BiasSens,0.2,60,DL,0.7257388422541421,2.0315109838989813,0.7629789272030651,0.04900396856275768,0.05276493248855016
