seed,model,Accuracy,DI,EOD,AOD
57,DL,0.7233333333333334,1.0957816377171217,0.15199562602515027,0.049842625567065105
57,Debiased-HITL,0.7233333333333334,1.0957816377171217,0.15199562602515027,0.049842625567065105
57,FE-HITL,0.7233333333333334,1.0957816377171217,0.15199562602515027,0.049842625567065105
58,LR,0.7766666666666666,1.3457556935817805,0.09453781512605042,0.04636146654669127
58,DL,0.75,1.2141706924315618,0.21218487394957986,0.06571131174792968
58,Debiased-HITL,0.75,1.2141706924315618,0.21218487394957986,0.06571131174792968
58,FE-HITL,0.75,1.2141706924315618,0.21218487394957986,0.06571131174792968
59,LR,0.73,1.7142857142857142,0.2456896551724138,0.14621386361347077
59,DL,0.72,1.7142857142857142,0.2769396551724138,0.16196057734277947
59,Debiased-HITL,0.7233333333333334,1.017857142857143,0.08943965517241381,0.0009028850350871476
59,FE-HITL,0.7233333333333334,1.017857142857143,0.08943965517241381,0.0009028850350871476
60,LR,0.7333333333333333,1.5413533834586466,0.10052910052910052,0.1265901509273506
60,DL,0.73,1.0275689223057645,0.015873015873015817,0.007287187175339646
60,Debiased-HITL,0.73,1.0275689223057645,0.015873015873015817,0.007287187175339646
60,FE-HITL,0.73,1.0275689223057645,0.015873015873015817,0.007287187175339646
61,LR,0.7566666666666667,0.8724489795918368,0.1399671951886276,0.08662823165272024
61,DL,0.75,1.0673854447439353,0.02460360852925092,0.019512476058880956
61,Debiased-HITL,0.75,1.0673854447439353,0.02460360852925092,0.019512476058880956
61,FE-HITL,0.75,1.0673854447439353,0.02460360852925092,0.019512476058880956
62,LR,0.7,2.409090909090909,0.17989417989417988,0.20206063379129724
62,DL,0.6666666666666666,2.168181818181818,0.1111111111111111,0.1885184777692204
62,Debiased-HITL,0.7066666666666667,0.0,0.3333333333333333,0.23042505592841162
62,FE-HITL,0.7066666666666667,0.0,0.3333333333333333,0.23042505592841162
63,LR,0.7133333333333334,1.4920212765957448,0.04999999999999999,0.06401515151515152
63,DL,0.69,1.2675438596491229,0.06666666666666665,0.06900252525252523
63,Debiased-HITL,0.6766666666666666,0.8947368421052632,0.16666666666666669,0.07039141414141416
63,FE-HITL,0.6766666666666666,0.8947368421052632,0.16666666666666669,0.07039141414141416
64,LR,0.73,1.5894706559263523,0.14999999999999997,0.10161934338952971
