fold,model,Acc,DI,EOD
2,Debiased-HITL,0.715,0.0,0.21621621621621623
2,FE-HITL,0.73,1.170940170940171,0.0011750881316098527
2,DL,0.71,0.0,0.10810810810810811
2,Debiased-HITL,0.71,0.0,0.10810810810810811
2,FE-HITL,0.71,0.0,0.10810810810810811
2,DL,0.725,0.9966931216931216,0.1175088131609871
2,Debiased-HITL,0.725,0.9966931216931216,0.1175088131609871
2,FE-HITL,0.725,0.9966931216931216,0.1175088131609871
3,DL,0.71,0.7083333333333333,0.075
3,Debiased-HITL,0.71,0.7083333333333333,0.075
3,FE-HITL,0.71,0.7083333333333333,0.075
3,DL,0.765,1.1383928571428572,0.024999999999999967
3,Debiased-HITL,0.765,1.1383928571428572,0.024999999999999967
3,FE-HITL,0.765,1.1383928571428572,0.024999999999999967
3,DL,0.72,1.59375,0.0
3,Debiased-HITL,0.725,0.265625,0.09999999999999999
3,FE-HITL,0.72,1.0625,0.04999999999999999
3,DL,0.72,0.9107142857142858,0.0
3,Debiased-HITL,0.72,0.9107142857142858,0.0
3,FE-HITL,0.72,0.9107142857142858,0.0
3,DL,0.765,0.53125,0.175
3,Debiased-HITL,0.755,1.3812499999999999,0.025000000000000022
3,FE-HITL,0.755,0.9562499999999999,0.125
3,DL,0.7,1.0,0.0
3,Debiased-HITL,0.7,1.0,0.0
3,FE-HITL,0.7,1.0,0.0
3,DL,0.735,1.2041666666666666,0.07499999999999996
3,Debiased-HITL,0.735,1.2041666666666666,0.07499999999999996
3,FE-HITL,0.735,1.2041666666666666,0.07499999999999996
3,DL,0.735,1.1018518518518519,0.07500000000000001
3,Debiased-HITL,0.735,1.1018518518518519,0.07500000000000001
3,FE-HITL,0.735,1.1018518518518519,0.07500000000000001
3,DL,0.76,0.9763513513513514,0.07499999999999996
3,Debiased-HITL,0.76,0.9763513513513514,0.07499999999999996
3,FE-HITL,0.76,0.9763513513513514,0.07499999999999996
3,DL,0.765,1.096774193548387,0.0
3,Debiased-HITL,0.765,1.096774193548387,0.0
3,FE-HITL,0.765,1.096774193548387,0.0
3,DL,0.755,1.4166666666666667,0.04999999999999999
3,Debiased-HITL,0.745,0.9444444444444445,0.15000000000000002
3,FE-HITL,0.745,0.9444444444444445,0.15000000000000002
3,DL,0.715,2.8333333333333335,0.15
3,Debiased-HITL,0.715,0.0,0.15
3,FE-HITL,0.71,1.6527777777777777,0.0
3,DL,0.74,1.0625,0.04999999999999999
3,Debiased-HITL,0.74,1.0625,0.04999999999999999
3,FE-HITL,0.74,1.0625,0.04999999999999999
3,DL,0.735,0.9208333333333334,0.175
3,Debiased-HITL,0.735,0.9208333333333334,0.175
3,FE-HITL,0.735,0.9208333333333334,0.175
3,DL,0.715,4.25,0.075
3,Debiased-HITL,0.715,4.25,0.075
3,FE-HITL,0.715,4.25,0.075
3,DL,0.735,0.796875,0.2
3,Debiased-HITL,0.735,0.796875,0.2
3,FE-HITL,0.74,1.0625,0.10000000000000003
3,DL,0.78,1.2395833333333333,0.0
3,Debiased-HITL,0.78,1.2395833333333333,0.0
3,FE-HITL,0.78,1.2395833333333333,0.0
3,DL,0.715,1.3076923076923077,0.0
3,Debiased-HITL,0.705,0.6538461538461539,0.15000000000000002
3,FE-HITL,0.715,1.3076923076923077,0.0
3,DL,0.755,0.99609375,0.025000000000000022
3,Debiased-HITL,0.755,0.99609375,0.025000000000000022
3,FE-HITL,0.755,0.99609375,0.025000000000000022
3,DL,0.735,1.2901785714285714,0.17500000000000004
3,Debiased-HITL,0.735,1.2901785714285714,0.17500000000000004
3,FE-HITL,0.745,0.9866071428571429,0.125
3,DL,0.75,0.7083333333333334,0.2
3,Debiased-HITL,0.765,1.1018518518518519,0.0
