bias,model,metric,mean,sd,n,ci_low,ci_high,seeds,display
0.3,LR,AOD,0.09804068760590538,0.02305260576356512,30,0.08979157015998716,0.1062898050518236,42-71,"0.098 ± 0.023 [0.090, 0.106]"
0.3,DL,R2,0.7357213962120561,0.0129481338620762,30,0.7310880511564376,0.7403547412676746,42-71,"0.736 ± 0.013 [0.731, 0.740]"
0.3,DL,RMSE,2.0277203954248173,0.03862511582317852,30,2.0138988292185718,2.041541961631063,42-71,"2.028 ± 0.039 [2.014, 2.042]"
0.3,DL,DI,0.6319784929924384,0.0497498660118917,30,0.6141760592086004,0.6497809267762763,42-71,"0.632 ± 0.050 [0.614, 0.650]"
0.3,DL,EOD,0.1301046833485305,0.0433099165128146,30,0.11460671355060913,0.14560265314645188,42-71,"0.130 ± 0.043 [0.115, 0.146]"
0.3,DL,AOD,0.09950490674561949,0.026134045372448515,30,0.09015313055921481,0.10885668293202416,42-71,"0.100 ± 0.026 [0.090, 0.109]"
0.3,Debiased-HITL,R2,0.7249684525890264,0.01702949476552375,30,0.718874638128039,0.7310622670500139,42-71,"0.725 ± 0.017 [0.719, 0.731]"
0.3,Debiased-HITL,RMSE,2.0683499531799097,0.0597053150402528,30,2.046985073176148,2.0897148331836712,42-71,"2.068 ± 0.060 [2.047, 2.090]"
0.3,Debiased-HITL,DI,0.6787657510434215,0.04576558187406628,30,0.662389048828844,0.6951424532579991,42-71,"0.679 ± 0.046 [0.662, 0.695]"
0.3,Debiased-HITL,EOD,0.0943965417246679,0.03678154161502201,30,0.08123467795377064,0.10755840549556515,42-71,"0.094 ± 0.037 [0.081, 0.108]"
0.3,Debiased-HITL,AOD,0.070743073762656,0.020778067405631793,30,0.06330787445867264,0.07817827306663935,42-71,"0.071 ± 0.021 [0.063, 0.078]"
0.3,FE-HITL,R2,0.7021548247019646,0.02380415092803021,30,0.6936367752146464,0.7106728741892827,42-71,"0.702 ± 0.024 [0.694, 0.711]"
0.3,FE-HITL,RMSE,2.1518108590579694,0.08166382100979903,30,2.1225883729971096,2.1810333451188293,42-71,"2.152 ± 0.082 [2.123, 2.181]"
0.3,FE-HITL,DI,0.8639705957840943,0.03991729553768624,30,0.8496866375022832,0.8782545540659054,42-71,"0.864 ± 0.040 [0.850, 0.878]"
0.3,FE-HITL,EOD,0.025204707607120184,0.018599511832478637,30,0.018549080077786433,0.031860335136453935,42-71,"0.025 ± 0.019 [0.019, 0.032]"
0.3,FE-HITL,AOD,0.036038333599303675,0.02523749751259439,30,0.027007377048981634,0.04506929014962571,42-71,"0.036 ± 0.025 [0.027, 0.045]"
0.4,LR,R2,0.744559380507394,0.012194969920356985,30,0.7401955467545321,0.7489232142602559,42-71,"0.745 ± 0.012 [0.740, 0.749]"
0.4,LR,RMSE,2.004380744105264,0.03721329789499041,30,1.9910643811728401,2.0176971070376877,42-71,"2.004 ± 0.037 [1.991, 2.018]"
0.4,LR,DI,0.5257962377649338,0.04498149627533935,30,0.5097001118226393,0.5418923637072283,42-71,"0.526 ± 0.045 [0.510, 0.542]"
0.4,LR,EOD,0.18677895677110642,0.042599687662330146,30,0.1715351344331822,0.20202277910903066,42-71,"0.187 ± 0.043 [0.172, 0.202]"
0.4,LR,AOD,0.13766633846862453,0.027671688414333668,30,0.1277643338970862,0.14756834304016286,42-71,"0.138 ± 0.028 [0.128, 0.148]"
0.4,DL,R2,0.7384252010003677,0.013198304238873668,30,0.7337023352701296,0.7431480667306057,42-71,"0.738 ± 0.013 [0.734, 0.743]"
0.4,DL,RMSE,2.028213645265202,0.03957292081708892,30,2.0140529176300586,2.042374372900346,42-71,"2.028 ± 0.040 [2.014, 2.042]"
0.4,DL,DI,0.5237262338512587,0.04717569606857444,30,0.5068449380249239,0.5406075296775935,42-71,"0.524 ± 0.047 [0.507, 0.541]"
